Month-Year,VALUE,Moving_Average_3,Moving_Average_6,Pct_Change
2024-01-01,70511151.0,,,
2024-02-01,53537043.0,,,-24.072941313920694
2024-03-01,49990574.0,58012922.666666664,,-6.624327383938633
2024-04-01,48452359.0,50659992.0,,-3.07701007793989
2024-05-01,69627696.0,56023543.0,,43.703418031720595
2024-06-01,59762933.0,59280996.0,58646959.333333336,-14.167872221421774
2024-07-01,73513379.0,67634669.33333333,59147330.666666664,23.008318550898423
2024-08-01,64578058.0,65951456.666666664,60987499.833333336,-12.154686835983963
2024-09-01,65730447.0,67940628.0,63610812.0,1.7844900198144664
2024-10-01,82152978.0,70820494.33333333,69227581.83333333,24.98466350000632
2024-11-01,73430633.0,73771352.66666667,69861404.66666667,-10.617198806840577
2024-12-01,53708425.0,69764012.0,68852320.0,-26.858284062456605
